perc_premium_paid_by_cash_credit,age_in_days,Income,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,target,mocked_target
0.429,12058.0,355060.0,99.02,13.0,2,1,3300.0,1.0,1
0.01,21546.0,315150.0,99.89,21.0,0,1,18000.0,1.0,1
0.917,17531.0,84140.0,98.69,7.0,2,0,3300.0,0.0,0
0.049,15341.0,250510.0,99.57,9.0,0,1,9600.0,1.0,0
0.052,31400.0,198680.0,99.87,12.0,1,1,9600.0,1.0,0
0.54,17527.0,282080.0,99.18,9.0,1,0,22200.0,1.0,0
1.0,24829.0,118400.0,99.05,11.0,1,1,7500.0,1.0,0
1.0,21911.0,180240.0,99.33,3.0,0,1,9600.0,0.0,1
0.621,9868.0,92520.0,99.58,4.0,0,1,7500.0,1.0,1
0.908,23008.0,107180.0,98.91,11.0,0,0,5400.0,0.0,1
0.051,17529.0,200100.0,98.66,22.0,2,0,1200.0,1.0,1
0.033,16075.0,122060.0,97.03,7.0,1,1,1200.0,1.0,0
1.0,16436.0,27290.0,98.32,4.0,0,1,1200.0,1.0,0
0.111,19723.0,136000.0,99.59,9.0,0,1,11700.0,1.0,1
0.027,16430.0,114110.0,98.7,13.0,3,1,7500.0,1.0,0
0.963,12788.0,90140.0,99.06,9.0,0,1,5400.0,1.0,0
0.055,23010.0,410310.0,99.66,10.0,0,1,18000.0,1.0,1
0.125,22639.0,315110.0,99.31,14.0,0,0,3300.0,1.0,0
0.0,11687.0,152610.0,99.53,5.0,2,1,9600.0,0.0,1
0.455,17530.0,190090.0,99.22,31.0,0,1,5400.0,1.0,0
0.229,17895.0,364950.0,99.07,10.0,0,0,24300.0,1.0,1
0.307,24466.0,360110.0,99.02,14.0,0,0,3300.0,1.0,1
0.88,17161.0,225090.0,99.72,21.0,2,0,3300.0,1.0,1
0.87,16430.0,240040.0,98.83,10.0,0,1,13800.0,1.0,0
0.03,32495.0,315070.0,99.89,9.0,0,1,7500.0,1.0,1
0.0,15342.0,236820.0,99.84,7.0,2,1,11700.0,1.0,0
0.0,22273.0,395050.0,98.61,8.0,0,1,34800.0,1.0,1
0.036,21179.0,82540.0,99.6,8.0,1,0,1200.0,1.0,0
0.326,17895.0,200050.0,98.79,11.0,0,0,1200.0,0.0,1
0.39,15345.0,128640.0,97.42,16.0,0,0,9600.0,1.0,0
0.301,13513.0,150080.0,97.44,15.0,0,1,9600.0,0.0,0
0.016,11693.0,75060.0,99.77,10.0,0,1,5700.0,1.0,0
0.023,23007.0,245040.0,98.94,22.0,0,1,24300.0,1.0,1
0.135,13149.0,107030.0,99.43,6.0,0,1,7500.0,1.0,1
0.036,21549.0,150090.0,99.89,9.0,0,0,9600.0,1.0,1
0.003,23000.0,288080.0,99.57,23.0,0,1,15900.0,1.0,0
0.631,16438.0,337600.0,99.66,7.0,2,0,28500.0,1.0,1
0.945,17165.0,105520.0,99.58,8.0,2,1,5400.0,0.0,0
0.007,10594.0,185580.0,99.32,14.0,0,1,9600.0,1.0,0
0.04,21545.0,316090.0,99.52,8.0,1,1,28500.0,1.0,0
0.0,21542.0,390130.0,92.82,22.0,0,1,47400.0,1.0,1
0.026,26290.0,87050.0,99.32,8.0,0,0,3300.0,1.0,0
0.863,18992.0,92450.0,98.77,11.0,1,1,3300.0,0.0,1
0.273,18262.0,129110.0,99.2,6.0,0,1,7500.0,1.0,0
0.201,16800.0,229580.0,99.05,9.0,3,0,18000.0,1.0,1
0.013,33960.0,73530.0,99.89,3.0,0,0,1200.0,1.0,0
0.0,22635.0,242790.0,99.09,11.0,1,0,1200.0,1.0,1
0.043,14974.0,75050.0,97.85,11.0,0,1,3300.0,1.0,1
0.016,16798.0,84110.0,99.18,13.0,3,1,3300.0,1.0,1
0.316,21915.0,132600.0,98.91,8.0,0,1,9600.0,1.0,0
0.292,16075.0,87630.0,99.03,11.0,2,1,5400.0,1.0,1
0.069,13878.0,296550.0,99.5,13.0,3,1,18000.0,1.0,1
0.543,13154.0,96130.0,98.19,10.0,2,1,7500.0,1.0,0
0.659,16440.0,180120.0,99.13,12.0,3,1,5400.0,1.0,1
0.023,25194.0,285100.0,99.1,16.0,1,0,13800.0,1.0,0
0.317,12420.0,175320.0,98.93,21.0,0,0,9600.0,1.0,0
0.376,14610.0,135070.0,98.94,12.0,3,0,11700.0,1.0,0
0.971,9870.0,31570.0,99.17,8.0,0,1,5700.0,0.0,1
0.024,20454.0,180040.0,98.43,11.0,2,0,5400.0,1.0,0
0.368,21905.0,394170.0,99.35,12.0,0,0,32700.0,1.0,0
0.399,22277.0,210050.0,98.9,14.0,0,0,9600.0,1.0,0
0.067,14970.0,300140.0,99.25,9.0,1,0,13800.0,1.0,1
0.001,21175.0,278920.0,99.33,12.0,0,0,9600.0,1.0,1
0.554,17894.0,287530.0,98.55,15.0,1,0,3300.0,1.0,1
0.48,26658.0,494050.0,98.89,20.0,1,1,24300.0,1.0,0
